entity,board_id,board_name,board_amountKind,board_defaultAmount,board_createdAt,checkin_id,checkin_boardId,checkin_amount,checkin_note,checkin_createdAt
Checkin,,,,,,F7CF1BCF-4482-4A12-8663-B5FD9FB20C0C,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-31T08:23:57Z
Checkin,,,,,,6E9EFF5A-5147-4EA3-963F-070E076950E6,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-18T14:30:21Z
Checkin,,,,,,91669356-DEE5-40A7-99DD-ECA579F059C2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-12-04T09:57:47Z
Checkin,,,,,,29FC05E6-8A38-472D-B030-6BE9307E7242,D087A067-A79A-472D-A1F2-A938EF405886,,,2026-01-23T19:51:00Z
Checkin,,,,,,791B0302-86E4-4745-A50F-29BCA78786EE,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-21T18:15:59Z
Checkin,,,,,,6B6952F4-286B-49E2-B490-E8E6DDBD9499,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-12-14T09:38:49Z
Checkin,,,,,,2434A7F1-6142-4861-BD4C-6716FA0D6FCD,EBC2D2A4-DDE8-4727-AF5C-DEF5BDA82543,,,2025-12-12T19:13:00Z
Checkin,,,,,,09D37E1E-6EEF-411B-8845-F8653A7EB610,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-11-22T12:51:43Z
Checkin,,,,,,A383F910-52D6-4E51-B5C6-9C8FA332F281,EBC2D2A4-DDE8-4727-AF5C-DEF5BDA82543,,,2025-11-29T21:06:00Z
Checkin,,,,,,B634F42C-51F9-4471-8879-6E2ADF9C437B,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-05T14:42:00Z
Checkin,,,,,,FF01CB2E-15A1-4FA8-B98E-FA4CC302DC7A,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-13T08:06:00Z
Checkin,,,,,,7EC1061F-56CD-4CCC-909B-790034843250,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-12-27T16:20:17Z
Checkin,,,,,,74790DB2-6009-4EA1-A093-BC139B422F81,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-29T13:36:46Z
Checkin,,,,,,5B46BF22-50F1-4CA9-8311-BCD86978D587,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-30T08:28:59Z
Checkin,,,,,,D063C52F-93B9-494D-9596-168D923B8612,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-03-13T16:29:19Z
Checkin,,,,,,FE307A3D-E316-4FCF-B01C-4709F42BD838,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-10-30T12:11:43Z
Checkin,,,,,,03E1A7F0-E09D-4164-B9ED-6BDAC1514664,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-14T10:44:05Z
Checkin,,,,,,71B69C50-3377-4889-BE43-461F2768F511,EBC2D2A4-DDE8-4727-AF5C-DEF5BDA82543,,,2025-12-20T20:20:00Z
Checkin,,,,,,E04F71A5-CAD5-451B-8444-7F854A70121B,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-26T07:28:00Z
Checkin,,,,,,BC779BEF-35D2-40A0-B5B1-F133897241E2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-08-15T07:04:36Z
